,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
18,cystic nephroma,1,CD271:A,0,1,,,0.0,0
19,cystic nephroma,1,CD28:A,0,1,,,0.0,0
20,cystic nephroma,1,CD3:A,1,0,87.52,87.52,87.52,0
21,cystic nephroma,1,CD30:A,0,1,,,0.0,0
22,cystic nephroma,1,CD309:A,1,0,230.94,230.94,230.94,0
23,cystic nephroma,1,CD34:A,0,1,,,0.0,0
24,cystic nephroma,1,CD38:A,1,0,-9.39,-9.39,-9.39,0
25,cystic nephroma,1,CD4:A,1,0,444.44,444.44,444.44,0
26,cystic nephroma,1,CD44:A,1,0,280.47,280.47,280.47,0
27,cystic nephroma,1,CD45:A,1,0,1405.01,1405.01,1405.01,0
28,cystic nephroma,1,CD5:A,0,1,,,0.0,0
29,cystic nephroma,1,CD56:A,1,0,73.98,73.98,73.98,0
30,cystic nephroma,1,CD56+IgK:A,0,1,,,0.0,0
31,cystic nephroma,1,CD57:A,1,0,310.56,310.56,310.56,0
32,cystic nephroma,1,CD58:A,1,0,1942.82,1942.82,1942.82,0
33,cystic nephroma,1,CD7:A,0,1,,,0.0,0
34,cystic nephroma,1,CD71:A,1,0,486.65,486.65,486.65,0
35,cystic nephroma,1,CD8:A,1,0,402.32,402.32,402.32,0
36,cystic nephroma,1,CD8+IgL:A,0,1,,,0.0,0
37,cystic nephroma,1,CD81:A,1,0,11316.75,11316.75,11316.75,0
38,cystic nephroma,1,CD8-CD99:A,1,0,463.86,463.86,463.86,0
39,cystic nephroma,1,CD9:A,1,0,9497.95,9497.95,9497.95,0
40,cystic nephroma,1,CD90:A,1,0,1519.53,1519.53,1519.53,0
41,cystic nephroma,1,CD99:A,1,0,176.28,176.28,176.28,0
42,cystic nephroma,1,cyCD3:A,0,1,,,0.0,0
43,cystic nephroma,1,cyCD3+CD19:A,1,0,332.27,332.27,332.27,0
44,cystic nephroma,1,cyCD79a:A,0,1,,,0.0,0
45,cystic nephroma,1,EPCAM:A,1,0,697.41,697.41,697.41,0
46,cystic nephroma,1,Epcam+CD4:A,1,0,464.5,464.5,464.5,0
47,cystic nephroma,1,FSC-A:A,1,0,112479.3,112479.3,112479.3,0
48,cystic nephroma,1,FSC-H:A,1,0,88288.0,88288.0,88288.0,0
49,cystic nephroma,1,GD2:A,1,0,392.47,392.47,392.47,0
50,cystic nephroma,1,HLADR:A,1,0,2644.04,2644.04,2644.04,0
51,cystic nephroma,1,MPO:A,0,1,,,0.0,0
52,cystic nephroma,1,nuMIOGENIN:A,1,0,144.71,144.71,144.71,0
53,cystic nephroma,1,nuMYOD:A,1,0,252.83,252.83,252.83,0
54,cystic nephroma,1,OCT3/4:A,0,1,,,0.0,0
55,cystic nephroma,1,SSC-A:A,1,0,26851.68,26851.68,26851.68,0
56,cystic nephroma,1,SSC-H:A,0,1,,,0.0,0
57,cystic nephroma,1,BV421:B,1,0,429.99,429.99,429.99,0
58,cystic nephroma,1,CD10:B,0,1,,,0.0,0
59,cystic nephroma,1,CD105:B,0,1,,,0.0,0
60,cystic nephroma,1,CD117:B,0,1,,,0.0,0
61,cystic nephroma,1,CD123:B,0,1,,,0.0,0
62,cystic nephroma,1,CD14:B,0,1,,,0.0,0
63,cystic nephroma,1,CD15:B,0,1,,,0.0,0
64,cystic nephroma,1,CD16:B,0,1,,,0.0,0
65,cystic nephroma,1,CD19:B,0,1,,,0.0,0
66,cystic nephroma,1,CD19_CD4:B,0,1,,,0.0,0
67,cystic nephroma,1,CD19+TCRGD:B,0,1,,,0.0,0
68,cystic nephroma,1,CD1a:B,0,1,,,0.0,0
69,cystic nephroma,1,CD2:B,0,1,,,0.0,0
70,cystic nephroma,1,CD20:B,0,1,,,0.0,0
71,cystic nephroma,1,CD20+CD4:B,0,1,,,0.0,0
72,cystic nephroma,1,CD21:B,0,1,,,0.0,0
73,cystic nephroma,1,CD22:B,0,1,,,0.0,0
74,cystic nephroma,1,CD24:B,0,1,,,0.0,0
75,cystic nephroma,1,CD271:B,0,1,,,0.0,0
76,cystic nephroma,1,CD28:B,0,1,,,0.0,0
77,cystic nephroma,1,CD3:B,0,1,,,0.0,0
78,cystic nephroma,1,CD30:B,0,1,,,0.0,0
79,cystic nephroma,1,CD309:B,0,1,,,0.0,0
80,cystic nephroma,1,CD34:B,0,1,,,0.0,0
81,cystic nephroma,1,CD38:B,0,1,,,0.0,0
82,cystic nephroma,1,CD4:B,0,1,,,0.0,0
83,cystic nephroma,1,CD44:B,0,1,,,0.0,0
84,cystic nephroma,1,CD45:B,1,0,5542.65,5542.65,5542.65,0
85,cystic nephroma,1,CD5:B,0,1,,,0.0,0
86,cystic nephroma,1,CD56:B,1,0,27.63,27.63,27.63,0
87,cystic nephroma,1,CD56+IgK:B,0,1,,,0.0,0
88,cystic nephroma,1,CD57:B,0,1,,,0.0,0
89,cystic nephroma,1,CD58:B,0,1,,,0.0,0
90,cystic nephroma,1,CD7:B,0,1,,,0.0,0
91,cystic nephroma,1,CD71:B,0,1,,,0.0,0
92,cystic nephroma,1,CD8:B,0,1,,,0.0,0
93,cystic nephroma,1,CD8+IgL:B,0,1,,,0.0,0
94,cystic nephroma,1,CD81:B,0,1,,,0.0,0
95,cystic nephroma,1,CD8-CD99:B,1,0,210.63,210.63,210.63,0
96,cystic nephroma,1,CD9:B,0,1,,,0.0,0
97,cystic nephroma,1,CD90:B,0,1,,,0.0,0
98,cystic nephroma,1,CD99:B,0,1,,,0.0,0
99,cystic nephroma,1,cyCD3:B,0,1,,,0.0,0
100,cystic nephroma,1,cyCD3+CD19:B,1,0,1927.44,1927.44,1927.44,0
101,cystic nephroma,1,cyCD79a:B,0,1,,,0.0,0
102,cystic nephroma,1,EPCAM:B,0,1,,,0.0,0
103,cystic nephroma,1,Epcam+CD4:B,1,0,143.94,143.94,143.94,0
104,cystic nephroma,1,FSC-A:B,1,0,84659.4,84659.4,84659.4,0
105,cystic nephroma,1,FSC-H:B,1,0,74326.0,74326.0,74326.0,0
106,cystic nephroma,1,GD2:B,1,0,209.66,209.66,209.66,0
107,cystic nephroma,1,HLADR:B,0,1,,,0.0,0
108,cystic nephroma,1,MPO:B,0,1,,,0.0,0
109,cystic nephroma,1,nuMIOGENIN:B,0,1,,,0.0,0
110,cystic nephroma,1,nuMYOD:B,0,1,,,0.0,0
111,cystic nephroma,1,OCT3/4:B,0,1,,,0.0,0
112,cystic nephroma,1,SSC-A:B,1,0,9158.4,9158.4,9158.4,0
113,cystic nephroma,1,SSC-H:B,0,1,,,0.0,0
114,cystic nephroma,1,BV421:END,0,1,,,0.0,0
115,cystic nephroma,1,CD10:END,0,1,,,0.0,0
116,cystic nephroma,1,CD105:END,0,1,,,0.0,0
117,cystic nephroma,1,CD117:END,0,1,,,0.0,0
118,cystic nephroma,1,CD123:END,0,1,,,0.0,0
119,cystic nephroma,1,CD14:END,0,1,,,0.0,0
120,cystic nephroma,1,CD15:END,0,1,,,0.0,0
121,cystic nephroma,1,CD16:END,0,1,,,0.0,0
122,cystic nephroma,1,CD19:END,0,1,,,0.0,0
123,cystic nephroma,1,CD19_CD4:END,0,1,,,0.0,0
124,cystic nephroma,1,CD19+TCRGD:END,0,1,,,0.0,0
125,cystic nephroma,1,CD1a:END,0,1,,,0.0,0
126,cystic nephroma,1,CD2:END,0,1,,,0.0,0
127,cystic nephroma,1,CD20:END,0,1,,,0.0,0
128,cystic nephroma,1,CD20+CD4:END,0,1,,,0.0,0
129,cystic nephroma,1,CD21:END,0,1,,,0.0,0
130,cystic nephroma,1,CD22:END,0,1,,,0.0,0
131,cystic nephroma,1,CD24:END,0,1,,,0.0,0
132,cystic nephroma,1,CD271:END,0,1,,,0.0,0
133,cystic nephroma,1,CD28:END,0,1,,,0.0,0
134,cystic nephroma,1,CD3:END,0,1,,,0.0,0
135,cystic nephroma,1,CD30:END,0,1,,,0.0,0
136,cystic nephroma,1,CD309:END,0,1,,,0.0,0
137,cystic nephroma,1,CD34:END,0,1,,,0.0,0
138,cystic nephroma,1,CD38:END,0,1,,,0.0,0
139,cystic nephroma,1,CD4:END,0,1,,,0.0,0
140,cystic nephroma,1,CD44:END,0,1,,,0.0,0
141,cystic nephroma,1,CD45:END,0,1,,,0.0,0
142,cystic nephroma,1,CD5:END,0,1,,,0.0,0
143,cystic nephroma,1,CD56:END,0,1,,,0.0,0
144,cystic nephroma,1,CD56+IgK:END,0,1,,,0.0,0
145,cystic nephroma,1,CD57:END,0,1,,,0.0,0
146,cystic nephroma,1,CD58:END,0,1,,,0.0,0
147,cystic nephroma,1,CD7:END,0,1,,,0.0,0
148,cystic nephroma,1,CD71:END,0,1,,,0.0,0
149,cystic nephroma,1,CD8:END,0,1,,,0.0,0
150,cystic nephroma,1,CD8+IgL:END,0,1,,,0.0,0
151,cystic nephroma,1,CD81:END,0,1,,,0.0,0
152,cystic nephroma,1,CD8-CD99:END,0,1,,,0.0,0
153,cystic nephroma,1,CD9:END,0,1,,,0.0,0
154,cystic nephroma,1,CD90:END,0,1,,,0.0,0
155,cystic nephroma,1,CD99:END,0,1,,,0.0,0
156,cystic nephroma,1,cyCD3:END,0,1,,,0.0,0
157,cystic nephroma,1,cyCD3+CD19:END,0,1,,,0.0,0
158,cystic nephroma,1,cyCD79a:END,0,1,,,0.0,0
159,cystic nephroma,1,EPCAM:END,0,1,,,0.0,0
160,cystic nephroma,1,Epcam+CD4:END,0,1,,,0.0,0
161,cystic nephroma,1,FSC-A:END,0,1,,,0.0,0
162,cystic nephroma,1,FSC-H:ENDE,0,1,,,0.0,0
163,cystic nephroma,1,GD2:END,0,1,,,0.0,0
164,cystic nephroma,1,HLADR:END,0,1,,,0.0,0
165,cystic nephroma,1,MPO:END,0,1,,,0.0,0
166,cystic nephroma,1,nuMIOGENIN:END,0,1,,,0.0,0
167,cystic nephroma,1,nuMYOD:END,0,1,,,0.0,0
168,cystic nephroma,1,OCT3/4:END,0,1,,,0.0,0
169,cystic nephroma,1,SSC-A:END,0,1,,,0.0,0
170,cystic nephroma,1,SSC-H:END,0,1,,,0.0,0
171,cystic nephroma,1,BV421:E,1,0,1706.82,1706.82,1706.82,0
172,cystic nephroma,1,CD10:E,1,0,1199.7,1199.7,1199.7,0
173,cystic nephroma,1,CD105:E,0,1,,,0.0,0
174,cystic nephroma,1,CD117:E,0,1,,,0.0,0
175,cystic nephroma,1,CD123:E,1,0,807.0,807.0,807.0,0
176,cystic nephroma,1,CD14:E,1,0,370.04,370.04,370.04,0
177,cystic nephroma,1,CD15:E,0,1,,,0.0,0
178,cystic nephroma,1,CD16:E,1,0,939.89,939.89,939.89,0
179,cystic nephroma,1,CD19:E,0,1,,,0.0,0
180,cystic nephroma,1,CD19_CD4:E,0,1,,,0.0,0
181,cystic nephroma,1,CD19+TCRGD:E,0,1,,,0.0,0
182,cystic nephroma,1,CD1a:E,0,1,,,0.0,0
183,cystic nephroma,1,CD2:E,0,1,,,0.0,0
184,cystic nephroma,1,CD20:E,0,1,,,0.0,0
185,cystic nephroma,1,CD20+CD4:E,0,1,,,0.0,0
186,cystic nephroma,1,CD21:E,0,1,,,0.0,0
187,cystic nephroma,1,CD22:E,0,1,,,0.0,0
188,cystic nephroma,1,CD24:E,0,1,,,0.0,0
189,cystic nephroma,1,CD271:E,0,1,,,0.0,0
190,cystic nephroma,1,CD28:E,0,1,,,0.0,0
191,cystic nephroma,1,CD3:E,1,0,616.39,616.39,616.39,0
192,cystic nephroma,1,CD30:E,0,1,,,0.0,0
193,cystic nephroma,1,CD309:E,1,0,345.64,345.64,345.64,0
194,cystic nephroma,1,CD34:E,0,1,,,0.0,0
195,cystic nephroma,1,CD38:E,1,0,270.72,270.72,270.72,0
196,cystic nephroma,1,CD4:E,1,0,1499.0,1499.0,1499.0,0
197,cystic nephroma,1,CD44:E,1,0,685.53,685.53,685.53,0
198,cystic nephroma,1,CD45:E,1,0,9796.92,9796.92,9796.92,0
199,cystic nephroma,1,CD5:E,0,1,,,0.0,0
200,cystic nephroma,1,CD56:E,1,0,145.1,145.1,145.1,0
201,cystic nephroma,1,CD56+IgK:E,0,1,,,0.0,0
202,cystic nephroma,1,CD57:E,1,0,545.25,545.25,545.25,0
203,cystic nephroma,1,CD58:E,1,0,2067.28,2067.28,2067.28,0
204,cystic nephroma,1,CD7:E,0,1,,,0.0,0
205,cystic nephroma,1,CD71:E,1,0,793.48,793.48,793.48,0
206,cystic nephroma,1,CD8:E,1,0,328.02,328.02,328.02,0
207,cystic nephroma,1,CD8+IgL:E,0,1,,,0.0,0
208,cystic nephroma,1,CD81:E,1,0,3217.82,3217.82,3217.82,0
209,cystic nephroma,1,CD8-CD99:E,0,1,,,0.0,0
210,cystic nephroma,1,CD9:E,1,0,4013.26,4013.26,4013.26,0
211,cystic nephroma,1,CD90:E,1,0,328.05,328.05,328.05,0
212,cystic nephroma,1,CD99:E,1,0,319.89,319.89,319.89,0
213,cystic nephroma,1,cyCD3:E,0,1,,,0.0,0
214,cystic nephroma,1,cyCD3+CD19:E,0,1,,,0.0,0
215,cystic nephroma,1,cyCD79a:E,0,1,,,0.0,0
216,cystic nephroma,1,EPCAM:E,1,0,787.06,787.06,787.06,0
217,cystic nephroma,1,Epcam+CD4:E,0,1,,,0.0,0
218,cystic nephroma,1,FSC-A:E,1,0,109684.8,109684.8,109684.8,0
219,cystic nephroma,1,FSC-H:E,1,0,82528.5,82528.5,82528.5,0
220,cystic nephroma,1,GD2:E,1,0,974.17,974.17,974.17,0
221,cystic nephroma,1,HLADR:E,1,0,1745.77,1745.77,1745.77,0
222,cystic nephroma,1,MPO:E,0,1,,,0.0,0
223,cystic nephroma,1,nuMIOGENIN:E,1,0,2143.99,2143.99,2143.99,0
224,cystic nephroma,1,nuMYOD:E,1,0,3689.94,3689.94,3689.94,0
225,cystic nephroma,1,OCT3/4:E,0,1,,,0.0,0
226,cystic nephroma,1,SSC-A:E,1,0,170452.81,170452.81,170452.81,0
227,cystic nephroma,1,SSC-H:E,0,1,,,0.0,0
228,cystic nephroma,1,BV421:L,1,0,5431.6,5431.6,5431.6,0
229,cystic nephroma,1,CD10:L,1,0,61.32,61.32,61.32,0
230,cystic nephroma,1,CD105:L,0,1,,,0.0,0
231,cystic nephroma,1,CD117:L,0,1,,,0.0,0
232,cystic nephroma,1,CD123:L,1,0,207.01,207.01,207.01,0
233,cystic nephroma,1,CD14:L,1,0,209.37,209.37,209.37,0
234,cystic nephroma,1,CD15:L,0,1,,,0.0,0
235,cystic nephroma,1,CD16:L,1,0,120.93,120.93,120.93,0
236,cystic nephroma,1,CD19:E.1,0,1,,,0.0,0
237,cystic nephroma,1,CD19_CD4:L,0,1,,,0.0,0
238,cystic nephroma,1,CD19+TCRGD:L,0,1,,,0.0,0
239,cystic nephroma,1,CD1a:L,0,1,,,0.0,0
240,cystic nephroma,1,CD2:L,0,1,,,0.0,0
241,cystic nephroma,1,CD20:L,0,1,,,0.0,0
242,cystic nephroma,1,CD20+CD4:L,0,1,,,0.0,0
243,cystic nephroma,1,CD21:L,0,1,,,0.0,0
244,cystic nephroma,1,CD22:L,0,1,,,0.0,0
245,cystic nephroma,1,CD24:L,0,1,,,0.0,0
246,cystic nephroma,1,CD271:L,0,1,,,0.0,0
247,cystic nephroma,1,CD28:L,0,1,,,0.0,0
248,cystic nephroma,1,CD3:L,1,0,1883.82,1883.82,1883.82,0
249,cystic nephroma,1,CD30:L,0,1,,,0.0,0
250,cystic nephroma,1,CD309:L,1,0,99.21,99.21,99.21,0
251,cystic nephroma,1,CD34:L,0,1,,,0.0,0
252,cystic nephroma,1,CD38:L,1,0,1138.78,1138.78,1138.78,0
253,cystic nephroma,1,CD4:L,1,0,458.76,458.76,458.76,0
254,cystic nephroma,1,CD44:L,1,0,873.9,873.9,873.9,0
255,cystic nephroma,1,CD45:L,1,0,8277.46,8277.46,8277.46,0
256,cystic nephroma,1,CD5:L,0,1,,,0.0,0
257,cystic nephroma,1,CD56:L,1,0,85.28,85.28,85.28,0
258,cystic nephroma,1,CD56+IgK:L,0,1,,,0.0,0
259,cystic nephroma,1,CD57:L,1,0,128.43,128.43,128.43,0
260,cystic nephroma,1,CD58:L,1,0,770.5,770.5,770.5,0
261,cystic nephroma,1,CD7:L,0,1,,,0.0,0
262,cystic nephroma,1,CD71:L,1,0,127.07,127.07,127.07,0
263,cystic nephroma,1,CD8:L,1,0,275.65,275.65,275.65,0
264,cystic nephroma,1,CD8+IgL:L,0,1,,,0.0,0
